"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
30,US,A1,US 2014/0339236 A1,052-423-263-251-41X,2014-11-20,2014,US 201414449402 A,2014-08-01,US 201414449402 A;;US 83081110 A,2010-07-06,SAFETY LANYARD EQUIPPED AQUATIC RECEPTACLE,"An aquatic receptacle with a sectioned floating rim that, while floating, maintains an opening for receiving articles into the receptacle. Embodiments can include an escape barrier over the mouth of the receptacle to prevent loss of contents while floating. One embodiment has a lanyard that can attach the receptacle to a diver, allowing it to float and be pulled along by the diver. A lanyard can have a breakaway mechanism that can detach the receptacle from a diver or other structure if sufficient force is applied to the lanyard. There can also be a shock-arrest mechanism that reduces the amount of force exerted on a diver or structure before the lanyard breaks. Force exerted on the lanyard pulls the floatable rim at least partially beneath the water surface causing the sections of the floatable rim come together and close over the mouth of the container to prevent loss of articles within the container.",DANIELS ERIC;;DANIELS GWENDOLYN L;;DANIELS IAN E,DANIELS ERIC;;DANIELS GWENDOLYN L;;DANIELS IAN E,,https://lens.org/052-423-263-251-41X,Patent Application,yes,1,1,3,3,0,A01K77/00;;A01K97/20;;B65D85/50;;F16F7/006;;A62B35/04;;A01K77/00;;A01K97/20;;B63C11/26;;B65D25/00,B63C11/26;;B65D25/00,220/560,0,0,,,,ACTIVE
31,KR,A,KR 20150034910 A,052-239-547-793-480,2015-04-06,2015,KR 20130114849 A,2013-09-27,KR 20130114849 A,2013-09-27,Fishing net pulling up apparatus,"The present invention relates to a net pulling apparatus. More specifically, the present invention relates to a net pulling apparatus which allows a net in water to be smoothly pulled not to get entangled and also allows the net and fish to be safely collected. The present invention proposes a net pulling apparatus comprising a main body frame vertically fixed and installed; multiple first to third winding drums axially coupled to the main body frame and installed at regular intervals to be rotated; a guide roller coupled to one side of the first to third winding drums and approaching the main body frame, wherein a rope is wound around the guide roller; a contact roller supported by an arm coupled to a central shaft on one side of the guide roller and allowing the rope to be tightly coupled to the guide roller; a driving motor attached to the lower part of the main body frame and generating rotary power; a power transmission means connecting a motor shaft of the driving motor and a drum shaft to allow the first and third winding drums to be rotated; and a tension adjusting means to vary the tensile force of the power transmission means.",신명식,신명식신명식,,https://lens.org/052-239-547-793-480,Patent Application,no,0,2,2,2,0,A01K77/00;;A01K73/06,A01K77/00;;A01K91/18,,0,0,,,,ACTIVE
32,US,A,US 2741053 A,046-663-598-194-66X,1956-04-10,1956,US 35744553 A,1953-05-26,US 35744553 A,1953-05-26,Bait net,,MOORE ELLIS W,MOORE ELLIS W,,https://lens.org/046-663-598-194-66X,Granted Patent,no,5,8,1,1,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,EXPIRED
33,US,B1,US 7934337 B1,054-678-488-210-886,2011-05-03,2011,US 89148607 A,2007-08-09,US 89148607 A,2007-08-09,Net device,"A major hoop member provides for protection of a minor hoop member and contact points between the minor hoop member and net material attached to the minor hoop member. The minor hoop member is of a significantly smaller diameter than a diameter of the major hoop member and is securely retained in close, but spaced, orientation radially inward from the major hoop member. This provides for the operational passageway through the minor hoop member which objects may be netted to be nearly as large as that available utilizing just the major hoop member. This full function feature occurs while the major hoop member protects the inner hoop member, and the contact points therealong of the net material, from coming into contact with many obstructions during use of the net device to net objects. Easy removal and replacement of the minor hoop member permits replacement of existing net material.",LAMBERT LONNIE,LAMBERT LONNIE,,https://lens.org/054-678-488-210-886,Granted Patent,yes,12,8,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/12;;43/11,0,0,,,,INACTIVE
34,FR,A,FR 1252691 A,061-438-612-850-452,1961-05-08,1961,FR 69040008 A,1959-12-19,FR 69040008 A,1959-12-19,épuisette télescopique à éjection automatique,,,PABION CHARLES,,https://lens.org/061-438-612-850-452,Granted Patent,no,0,1,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
35,KR,U,KR 960006754 U,057-897-987-209-555,1996-03-13,1996,KR 19940021030 U,1994-08-18,KR 19940021030 U,1994-08-18,로우프 인양기,,최복두,최복두,,https://lens.org/057-897-987-209-555,Patent Application,no,0,2,2,2,0,Y02A40/81;;A01K73/06;;A01K80/00;;A01K77/00,A01K61/00,,0,0,,,,EXPIRED
36,CN,B,CN 110226007 B,056-021-258-423-655,2020-06-23,2020,CN 201880008827 A,2018-01-16,DE 102017101755 A;;EP 2018050968 W,2017-01-30,丝网和用于生产丝网用的螺旋线的方法,本发明涉及一种丝网(10a；10d；10e)，特别是安全网，所述丝网包括相互编织的多个卷材(12a，14a；12d；12e)，以及其中的至少一个卷材(12a；12d；12e)是由至少一条单丝、丝束、丝绞线、丝绳和/或具有至少一条丝(18a；18d；18e)的另一个细长元件(16a；16d；16e)制成，以及其包括至少一个第一腿部(20a；20d；20e)、至少一个第二腿部(22a；22d；22e)、和将所述第一腿部(20a；20d；20e)与所述第二腿部(22a；22d；22e)连接的至少一个弯曲点(24a；24d；24e)。根据本发明，在平行于所述卷材(12a；12d；12e)的纵向方向(28a；28d；28e)纵向观察，所述弯曲点(24a；24d；24e)包括具有弯曲曲率的至少一个弯曲区(34a；34d；34e)和至少一个第一过渡区(36a；36d；36e)，所述过渡区连接到所述第一腿部(20a；20d；20e)以及具有不同于所述弯曲曲率的第一过渡曲率。,集奥布鲁克有限公司,科琳娜·文德尔-哥格曼,,https://lens.org/056-021-258-423-655,Granted Patent,no,0,0,13,13,0,B21F27/04;;E01F7/04;;E04H17/05;;A01K61/60;;A01K77/00;;B21F27/04;;E01F7/045;;E02D17/202;;E04F13/07;;E06B9/52;;E06B2009/524;;F41H11/00;;E04H17/05,E01F7/04;;B21F27/04,,0,0,,,,ACTIVE
37,CH,A,CH 499957 A,050-779-585-433-317,1970-12-15,1970,CH 1797268 A,1968-12-02,CH 1797268 A,1968-12-02,Feumer,,RUEEGGER & HIRS ELEKTRONIK UND,BRUNO RUEEGGER,,https://lens.org/050-779-585-433-317,Granted Patent,no,0,0,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
38,GB,D0,GB 9203800 D0,048-993-691-650-273,1992-04-08,1992,GB 9203800 A,1992-02-21,GB 9203800 A;;GB 9103842 A;;GB 9201784 W,1991-02-23,FISHING NET,,MOLLOY JAMES,,,https://lens.org/048-993-691-650-273,Patent Application,no,0,0,10,10,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,EXPIRED
39,US,A1,US 2023/0301281 A1,057-745-136-449-54X,2023-09-28,2023,US 202217705350 A,2022-03-27,US 202217705350 A,2022-03-27,FRAMED THREE-POINT LIFT NET,"A framed three-point lift net for lifting one or more fish out of the water to a user located at an elevated fishing venue is presented. The framed three-point lift net may comprise a frame, a net, and a lifting cord. The framed three-point lift net may be a fishing net that is adapted to lift one or more fish out of water and up to a user located at an elevated fishing venue. As non-limiting examples, the elevated fishing venue may be a pier, a bluff, a dam, or a boat. The net may be held open by the frame. The net may be adapted to be positioned under the one or more fish and then lifted as the frame is raised by pulling up on the lifting cord. The lifting cord may attach to the frame at three points.",HICKS RANDY,HICKS RANDY,,https://lens.org/057-745-136-449-54X,Patent Application,yes,11,0,1,1,0,A01K75/005;;A01K77/00;;A01K75/005,A01K75/00,,0,0,,,,PENDING
40,FR,A1,FR 2658384 A1,068-634-500-023-623,1991-08-23,1991,FR 9002234 A,1990-02-21,FR 9002234 A,1990-02-21,"Landing-net (spoon-net, dip-net) for catching fish, with hermetic and automatic closure, controlled by the fisherman's foot","The invention relates to a landing-net consisting of a net (1) fastened on an articulated frame (2) on two hinges (3). Two arms (4) are fastened to this frame, and are installed on a hinge (5) which is fastened on a piece (6) where a spring (7) is installed. This landing-net is held stretched by two pistons (8). Double tubes (9), fastened by bolts (10), are fastened to this piece (6). An iron rod (11), which is extended by a cable (12), passes through the centre of the piece (6). The lower end of the cable passes into an extendable jaw (19), on this jaw is installed an iron rod (20) which is fastened on a spindle (21), on which is fastened a tube (22) which slides on an eye (bolt) (23), and the whole assembly is fastened on the boat (24) and controlled by the fisherman's foot in order to catch fish inside the net. <IMAGE>",GUINOISEAU HENRI,HENRI GUINOISEAU,,https://lens.org/068-634-500-023-623,Patent Application,no,5,3,2,2,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
41,CN,A,CN 1171195 A,065-609-914-366-358,1998-01-28,1998,CN 97114914 A,1997-06-11,JP 14936096 A;;JP 34581096 A,1996-06-11,Fishing equipment containing germicidal agent,,SHIMANO KK,YASUI TOSHIHIKO,,https://lens.org/065-609-914-366-358,Patent Application,no,0,4,8,8,0,A01K77/00;;A01K87/08;;A01N25/34;;A01K87/08;;A01K77/00;;A01N25/34;;A01K77/00;;A01K87/08;;A01N25/34,A01K77/00;;A01K87/08;;A01K97/20;;A01N25/34;;A61L2/16,,0,0,,,,DISCONTINUED
42,KR,Y1,KR 200302031 Y1,059-386-670-776-947,2003-01-24,2003,KR 20020030582 U,2002-10-14,KR 20020030582 U,2002-10-14,KR 200302031 Y1,,,,,https://lens.org/059-386-670-776-947,Unknown,no,0,2,1,1,0,A01K77/00;;A01K97/00,A01K77/00,,0,0,,,,EXPIRED
43,KR,U,KR 960033192 U,066-678-080-895-24X,1996-11-19,1996,KR 19950007302 U,1995-04-12,KR 19950007302 U,1995-04-12,낚시용 뜰채,"본 고안은 낚시용 뜰채에 관한 것으로서, 특히 그물의 개방된 상부를 감싸는 그물테와 손잡이를 갖는 낚시용 뜰채에 있어서, 상기 그물테는 상기 손잡이 선단을 중심으로 양측으로 갈라지고 선단에 직경이 작은 고정링이 형성된 중공상의 고정부, 상기 각 고정부 내측으로 출입되고 인출된 상태에서 끝단이 상기 고정링에 걸리는 이동부, 그리고 상기 각 이동부를 연결하는 연결부로 구성된 특징적인 구성에 의해, 그물테의 길이가 신축되어 그물의 입구 직경이 가변되도록 함으로서, 보관할때 접어진 그물테와 그물의 부피가 축소됨으로 보관이 편리한 효과가 있다.",류외출,류외출,,https://lens.org/066-678-080-895-24X,Patent Application,no,0,0,2,2,0,A01K77/005,A01K77/00,,0,0,,,,EXPIRED
44,KR,Y1,KR 200263045 Y1,064-909-974-115-217,2002-02-01,2002,KR 20010032300 U,2001-10-23,KR 20010032300 U,2001-10-23,PULL MACHINE OF FISH NET,"본 고안은 바다에 투하한 어망을 인양시에 일정한 간격으로 여러개의 납추를 고정한 추고정지지로프를 어선의 갑판으로 끌어올리기에 적합한 구조로 구성한 양망기에 관한 것이다. 일반적으로 어망의 상부는 부력을 부여하기 위하여 부구고정로프를 체결하여 일정한 간격으로 여러개의 부구를 고정하고, 어망(23)의 하부는 하강력을 부여하기 위하여 추고정로프(24)를 체결하여 일정한 간격으로 여러개의 납추(25)를 고정하게 되는 바, 종래의 양망기는 부피가 큰 부구가 고정된 어망상부의 부구지지로프쪽을 인양할 수 있는 구조로 구성된 것이므로 메인롤러와 한쌍의 롤러사이의 간격을 넓게 유지시켜야 하게 되고, 또한 메인롤러(7)와 한쌍의 롤러(13)(14)의 간격은 일일히 수동으로 조절하여야 하게 될 뿐만 아니라, 롤러의 사이에 로프를 끼우기가 용이하지 못하고 인양되는 로프 및 어망이 꼬이거나 엉키는 등으로하여 많은 문제가 따르게 되었다. 이에 따라 조업시간의 허비로 인해 어획효율이 떨어지게 되는 문제가 있었다. 본 고안은 위와 같은 문제점을 해결하기 위하여 기대(1)에 유착한 회전원판 (2)에는 지주(3)의 프랜지(301)를 볼트(4)로 고정하고, 지주(3)의 지지판(302)에는 AC모터(6)와 감속기(5)를 설치하여 감속기(5)의 축(5')에는 메인롤러(7)를 유착하여서 된 것에 있어서, 지지판(302)에는 지지간(8)을 고정하고, 감속기(5)의 외벽면에는 작동레버 (9)를 핀(11)으로 유착하는 한편, 단부에는 암(10)을 핀(12)으로 유착하고 전기의 암(10)에는 축(10')(10')을 고정하여 롤러(13)(14)를 유착하고 지지간(8)과 작동레버(9)를 인장스프링(15)으로 연결하여 롤러(13)(14)에 고정한 기어(13')(14')를 메인롤러(7)의 기어(7')에 이맞춤되게하고, 프랜지(301)의 돌편(3A)에 유착하여 볼트(16)로 고정시킨 지지봉(17)의 끼움관(17')에는 축(18)을 고정하여 전기의 축(18)에는 안내관(19)을 회전자유롭게 끼우고, 회전판(2)의 축(201)에는 웜휠(20)을 고정하여 웜(21)과 이맞춤시켜 핸들 (22)로 웜(21)을 회전시키는 것에 의하여 지주(3)를 좌우로 회전시킬 수 있도록 함으로서 메인롤러(7)와 롤러(13)(14)의 접촉력을 양호토록하면서도 인양되는 납추 (25)와 추고정로프(24)의 상이한 굵기에 따라 메인롤러(7)와 롤러(13)(14)의 간격이 자동적으로 적응되게하여 인양효율을 향상시킬 수 있도록 함과 아울러 메인롤러 (7)와 롤러(13)(14)의 사이에 추고정로프를 신속 용이하게 끼울 수 있도록 하고, 또한 인양되는 어망이 안내관(19)에 의하여 판상으로 펴지게하여 어망이 뭉쳐지거나 엉키는 것을 방지할 수 있도록 하고, 또한 핸들(22)을 간단히 회전시키는 것에 의하여 웜(21)및 웜휠(22)을 회전시켜 메인롤러(7)및 롤러(13)(14)의 인양방향을 변화시킬 수 있도록 한 매우 합리적인 구조로 구성한 양망기를 제공할 수 있도록 한 것이다.",강기영,권기생;;서병귀;;김경만;;황승재;;강기영,,https://lens.org/064-909-974-115-217,Unknown,no,0,6,1,1,0,A01K73/06;;A01K77/00;;B66F19/00,,,0,0,,,,EXPIRED
45,US,A,US 4169331 A,082-602-134-257-833,1979-10-02,1979,US 90580678 A,1978-05-15,US 90580678 A,1978-05-15,Net replacement unit,"For use in combination with a supporting open frame structure adapted for connection to a handle and formed from a material of generally circular cross-section, there is described a net replacement unit which comprises a resiliently deformable, tubular cover and a depending net formed integral therewith. The cover has an inner surface defining an ovate longitudinal bore communicating through a slot coextensive with the bore along its narrow side for reception of the frame therethrough. Additionally, the cover is provided with a plurality of longitudinal ribs coextensive with the bore and extending thereinto from the cover's inner surface in a particular orientation to bias the frame to retain the frame in the cover, yet permit the cover to be readily snapped on and off the frame using only hand pressure when necesssary to replace the net and/or cover.",BAKER THOMAS E,BAKER THOMAS E,,https://lens.org/082-602-134-257-833,Granted Patent,yes,6,31,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/11,0,0,,,,EXPIRED
